STA NET DIST AZ BAZ STA_LAT STA_LON EQ_LAT EQ_LON EQ_DEP EQ_MAG EQ_NAME POLARFLAG QUALITY PREM AMP CCC1 SNRAVE DT PHASE STRETCHC STRETCHF MISFITSIG COMP TAG1 TAG2 TAG3 TAG4 TAG5 WEIGHT TAG6 TAG7 ONSET ENDSET TSTARF TSTARC CCC2 MISFITPRE MISFITBAK GRECORD GSEW GMISFIT POLARITY POLAR_RIGHT TRAFFIC PRE2T PRE3T BAK2T BAK3T SNR_TROUGH SNR_PEAK SNR_SMALL
BJI CD 152.948 350.544 12.023 40.040 116.175 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2535.770 0.000000818 0.98 1.36 -7.7 ScSScS 1.00 0.98 3.26 T 0.50 190 -100.00 90.00 -18.500 0.00 0.00 0.12 -4.90 5.90 0.95 1.00 0.99 26.42 8.82 29.40 27.50 0.07 -0.26
XAN IC 159.340 3.924 355.400 34.031 108.924 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2587.840 0.000000371 0.83 1.78 -12.7 ScSScS 0.95 0.58 17.56 T -7.10 190 -100.00 90.00 -26.100 0.00 0.00 0.93 -10.80 -3.40 0.65 0.95 0.51 77.87 25.08 20.30 27.50 -0.26 -0.13
XAN_PPP IC 159.340 3.924 355.400 34.031 108.924 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2587.840 0.000000371 0.94 1.53 -5.8 ScSScS 1.00 1.43 7.33 T 5.00 296 -100.00 90.00 -24.600 0.00 0.00 0.10 -1.90 11.90 8.17 0.93 0.99 63.00 32.63 38.70 27.50 0.41 -0.13
PKD1 BK 68.686 317.349 125.690 35.889 -120.426 -13.335 -69.410 604.900 6.900 199401101553 -1 1 1942.170 0.000002808 0.95 2.91 2.2 ScSScS 1.00 0.83 2.15 T 8.70 190 -100.00 90.00 -10.300 0.20 0.00 0.09 4.40 13.00 0.75 1.00 0.99 14.15 12.99 23.40 27.50 -0.15 -0.61
SAO BK 69.863 317.598 125.176 36.764 -121.447 -13.335 -69.410 604.900 6.900 199401101553 -1 1 1948.570 0.000003188 0.96 4.70 0.4 ScSScS 1.00 0.83 2.87 T 6.90 190 -100.00 90.00 -12.100 0.50 0.00 0.07 2.60 11.20 0.75 1.00 1.00 3.74 28.84 23.40 27.50 -0.15 -0.61
BKS BK 71.015 318.180 124.895 37.876 -122.236 -13.335 -69.410 604.900 6.900 199401101553 -1 1 1954.910 0.000002719 0.98 2.66 -1.4 ScSScS 0.99 0.93 6.36 T 6.80 190 -100.00 90.00 -12.200 0.20 0.00 0.18 1.40 12.20 0.95 0.99 0.97 15.11 14.57 29.40 27.50 0.07 -0.60
YBH BK 73.535 321.261 125.531 41.732 -122.710 -13.335 -69.410 604.900 6.900 199401101553 -1 1 1969.040 0.000002112 0.99 1.74 -1.1 ScSScS 1.00 0.93 2.67 T 6.20 190 -100.00 90.00 -12.800 0.00 0.00 0.12 1.30 11.10 0.85 1.00 1.00 19.28 35.56 26.40 27.50 -0.04 -0.57
A39 XZ 74.431 324.039 127.096 44.415 -121.538 -13.335 -69.410 604.900 6.900 199401101553 -1 1 1974.200 0.000000093 0.87 0.80 -3.9 ScSScS 0.99 1.68 11.02 T 8.30 313 -100.00 90.00 -23.000 0.00 0.00 0.12 0.70 15.90 12.57 0.90 0.99 30.79 33.41 43.80 27.50 0.59 -0.55
A375 XZ 74.519 323.973 126.973 44.417 -121.689 -13.335 -69.410 604.900 6.900 199401101553 -1 1 1974.690 0.000000097 0.89 1.09 -2.7 ScSScS 0.98 1.58 9.43 T 9.10 308 -100.00 90.00 -21.700 0.00 0.00 0.11 1.70 16.50 11.32 0.91 0.98 20.10 26.98 42.30 27.50 0.54 -0.55
PAB IU 80.094 45.376 243.634 39.545 -4.350 -13.335 -69.410 604.900 6.900 199401101553 1 1 2007.140 0.000002951 0.99 2.01 -1.0 ScSScS 1.00 0.93 2.80 T 7.20 190 -100.00 90.00 -11.800 0.00 0.00 0.07 1.80 12.60 0.95 1.00 0.99 20.97 6.78 29.40 27.50 0.07 0.38
AFI IU 98.493 253.544 105.984 -13.909 -171.777 -13.335 -69.410 604.900 6.900 199401101553 -1 1 2124.060 0.000003403 0.90 2.97 20.2 ScSScS 0.91 0.83 2.77 T 28.40 190 -100.00 90.00 9.400 0.00 0.00 0.08 23.00 33.80 0.95 1.00 0.99 7.36 7.80 29.40 27.50 0.07 -0.77
TSK PS 145.066 315.902 56.884 36.211 140.110 -13.335 -69.410 604.900 6.900 199401101553 -1 1 2472.850 0.000001001 0.91 1.12 -5.4 ScSScS 0.98 1.48 16.77 T 5.40 296 -100.00 90.00 -24.200 0.00 0.00 0.27 -1.50 12.30 8.22 0.90 0.93 22.31 34.87 38.80 27.50 0.41 -0.55
